Name,Address,Phone
EJG Motor Escort & Traffic,"680 Camellia Way, Chico, California 95926",909-597-1393
Palm Memorial Worden Chapel,"587 Country Drive, Chico, California 95928",559-665-3012
Bayview Cremation & Burial Service,"13002 Central Avenue, Chino, California 91710",619-476-9996
Funeraria Del Angel Humphrey,"3766 Garden Court, Chino Hills, California 91709",(619) 425-9111
Jardines Del Tiempo Inc,"140 S 6th Street, Chowchilla, California 93610",619-427-1636
Live In Peace Services,"815 3rd Avenue, Chula Vista, California 91911",(619) 370-6273
Chapel of the Valley,#VALUE!,916-797-1448
Price Funeral Chapel,"753 Broadway, Chula Vista, California 91910",916-725-2109
Reichert's Funeral & Cremation Services,"1043 Broadway, Chula Vista, California 91911",(916) 729-2229
Trident Society,"2127 Olympic Pkwy, Chula Vista, California 91915",(916) 726-6550
Todd Memorial Chapel,#VALUE!,909-622-1217
Knopsnyder Mortuary,"8350 Auburn Boulevard, Citrus Heights, California 95610",925-825-4831
Wynacht Memorial & Monument,"6335 Sunrise Boulevard, Citrus Heights, California 95610",(707) 994-3845
Fred Young Funeral Home,"7320 Auburn Blvd, Citrus Heights, California 95610",707-894-2540
Bell Memorials & Granite Works,"7525 Auburn Blvd, Citrus Heights, California 95610",(559) 299-7055
Boice Funeral Home,"325 N Indian Hill Boulevard, Claremont, California 91711",(559) 299-4372
Clovis Funeral Chapel,"404 7th Street, Clayton, California 94517",559-298-7536
Serenity Funeral Clovis,"14915 Olympic Dr, Clearlake, California 95422",559-325-0621
Chapel Of The Palms Funeral Home,"428 N Cloverdale Boulevard, Cloverdale, California 95425",(760) 398-1536
FitzHenry Funeral Homes Desert Chapel,"339 N Minnewawa Ave, Clovis, California 93612",(760) 347-3611
Forest Lawn Mortuaries,"308 Pollasky Avenue, Clovis, California 93612",760-347-3611
Palm Memorial-Coalinga Chapel,"1302 Clovis Avenue, Clovis, California 93612",(559) 935-3338
Colma Cremation & Funeral Services,"202 Clovis Avenue, Clovis, California 93612",(650) 757-1300
Olivet Memorial Park,"85891 Grapefruit Boulevard, Coachella, California 92236",(650) 755-0322
Colton Funeral Chapel,"51-990 South Jackson Street, Coachella, California 92236",(909) 825-0570
Inland Memorial Cremation & Burial,"51990 Jackson, Coachella, California 92236",(909) 276-3377
Montecito Memorial Park & Mortuary,"486 N 5th St, Coalinga, California 93210",(909) 825-3024
McNary Moore Funeral Service,"7747 Mission St, Colma, California 94014",(530) 458-2111
Adams Funeral Home,"1601 Hillside Boulevard, Colma, California 94014",323-636-9864
Harrison-Ross Funeral Homes,"1275 N La Cadena Drive, Colton, California 92324",323-584-1225
Robert L Adams Mortuary Inc,"2050 West Key Street, Colton, California 92324",(323) 636-9864
South Bay Mortuary,"3520 E Washington St, Colton, California 92324",310-635-3825
Memory Gardens Memorial Park,"107 Fifth St, Colusa, California 95932",925-685-3464
Ouimet Bros Concord Funeral Chapel,"501 E Palmer Street, Compton, California 90221",(925) 682-4242
Ouimet Brothers-Concord,"436 E Compton Boulevard, Compton, California 90221",925-682-4242
Grimes & AKES Family Funeral,"501 E Palmer St, Compton, California 90221",951-737-3771
Thomas Miller Mortuary Inc,"16701 S Central Avenue, Compton, California 90220",951-737-3244
Walker Family Funeral Service,"2011 Arnold Industrial Way, Concord, California 94520",951-898-0452
Pacific View Memorial Park & Mortuary,"4125 Clayton Rd, Concord, California 94521",(949) 644-2700
Daphne Funerals Marin,"4125 Clayton Road, Concord, California 94521",415-924-4004
Harbor Lawn-Mt Olive Memorial Park & Mortuary,"500 W 7th Street, Corona, California 92882",(714) 540-5554
Neptune Society,"1118 E 6th Street, Corona, California 92879",949-646-7431
South Coast Family Funeral Service,"815 S Main Street, Corona, California 92882",(888) 607-0772
Christian Brothers Mortuary,"3500 Pacific View Dr, Corona Del Mar, California 92625",626-967-7371
Custer Christiansen Mortuaries,"601 Tamalpais Drive, Corte Madera, California 94925",626-331-8231
Forest Lawn Memorial Park Association,"1625 Gisler Avenue, Costa Mesa, California 92626",626-966-3671
Redwood Memorial Care,"758 W 19th Street, Costa Mesa, California 92627",707-465-3719
Wier's Mortuary Chapel,"575 Anton Blvd #300, Costa Mesa, California 92626",707-464-2011
Hosselkus Chapel,"543 E San Bernardino Road, Covina, California 91723",510-799-1411
Gates Kingsley Gates Smith Salsbury Funeral Home,"124 S Citrus Avenue, Covina, California 91723",(310) 837-7121
Holy Cross Catholic Cemetery & Mausoleum,"21300 E Viaduct Verde Street, Covina, California 91724",(310)   670-7697
Holy Cross Mortuary,"611 9th Street, Crescent City, California 95531",(310) 670-7697
Colma Cremation & Funeral Service,"408 G Street, Crescent City, California 95531",650-757-1300
Cypress Lawn Funeral Home,"1 Rolph Park Drive, Crockett, California 94525",650-550-8808
Duggan's Serra Mortuary & Cremation,"4220 S Sepulveda Blvd, Culver City, California 90230",415-587-4500
Holy Cross Catholic Cemetery,"5835 W Slauson Ave, Culver City, California 90230",(650) 756-2060
Wilson & Kratzer Mortuaries,"5835 West Slauson Avenue, Culver City, California 90230",925-820-2999
Wiscombe's Davis Funeral,"7747 Mission, Daly City, California 94014",530-758-5500
Burials at Sea,"1370 El Camino Real, Daly City, California 94014",310-577-6660
Delano Mortuary,"500 Westlake Avenue, Daly City, California 94014",(661) 725-0330
Lane Family Funeral Home,"1500 Mission Road, Daly City, California 94014",661-725-1234
Parkview Mortuary,"825 Hartz Way, Danville, California 94526",(661) 725-1916
Desert Hot Springs Mortuary,"116 D Street, Davis, California 95616",(760) 329-8738
Dopkins Funeral Chapel,"13755 Fiji Way, Del Rey, California 90292",559-591-1919
Bryant & Moore Chapel,"707 Browning Road, Delano, California 93215",925-682-1100
Whitehurst Funeral Chapel,"1303 Glenwood Street, Delano, California 93215",209-392-3481
California Mortuary,"315 South Lexington Avenue, Delano, California 93215",562-622-9393
Downey Zrelak Family Mortuary,"66272 Pierson Boulevard, Desert Hot Springs, California 92240",(562) 927-2644
Miller-Mies Mortuary,"189 S J Street, Dinuba, California 93618",(562) 861-1274
A Special Touch Funeral,"1943 Seal Way, Discovery Bay, California 94505",925-875-1343
Deer Creek Funeral Service,"2350 Blossom Street, Dos Palos, California 93620",925-803-7733
Carroll's Mortuary,"9830 Lakewood Boulevard, Downey, California 90240",619-440-8033
Granite & Stone Memorials,"10229 S Paramount Blvd, Downey, California 90241",(619) 448-8450
Neptune Society of San Diego,"11015 S Downey Ave, Downey, California 90241",619-585-1033
Paris-Frederick Mortuary,"11848 Dublin Boulevard, Dublin, California 94568",619-442-4411
Frye Chapel & Mortuary,"11830 Dublin Boulevard, Dublin, California 94568",(760) 337-1444
Hems Brothers Mortuary,"684 S Mollison Avenue, El Cajon, California 92020",(760) 352-5661
Sunset View Cemetery-Mortuary,"1662 N Magnolia Ave, El Cajon, California 92020",510-525-5111
Roy C Addleman & Son Funeral,"14065 Highway 8 Bus, El Cajon, California 92020",626-442-1000
Douglass Family Mortuaries,"374 N Magnolia Avenue, El Cajon, California 92020",310-640-9325
Elk Grove Funeral Chapel,"384 West Main Street, El Centro, California 92244",(916) 686-1888
South East Lawn Mortuary,"1975 S 4th St, El Centro, California 92243",(916) 732-2031
Pacific Interment Service,"101 Colusa Avenue, El Cerrito, California 94530",(510) 450-0188
El Camino Memorial-Encinitas Chapel,"11338 Valley Boulevard, El Monte, California 91731",(760) 753-1143
Deegan Funeral Chapels,"500 E Imperial Avenue, El Segundo, California 90245",(209) 838-7321
ST John's Catholic Cemetery,"9101 Elk Grove Blvd, Elk Grove, California 95624",(209)   838-7134
Alhiser-Comer Mortuary,"9189 East Stockton Blvd, Elk Grove, California 95624",760-745-2162
American Cremation Service,"1094 Yerba Buena Ave, Emeryville, California 94608",760-480-8483
California Funeral Alternative,"340 Melrose Ave, Encinitas, California 92024",760-737-2890
Funeraria Del Angel McLeod,"1441 San Joaquin St, Escalon, California 95320",(619) 745-2100
Coopers Mortuary,"17871 S Carrolton Road, Escalon, California 95320",707-443-1641
Pierce Chapel,"225 S Broadway, Escondido, California 92025",(707) 442-3751
Sanders Funeral Home,"135 W Mission Avenue, Escondido, California 92025",707-442-2941
Evans-Miller Exeter Chapel,"1020 E Pennsylvania Avenue, Escondido, California 92025",(559) 592-5161
Smith Family Chapel,"1919 E Valley Pkwy, Escondido, California 92027",559-592-9119
Smith Family Chapel,"509 J Street, Eureka, California 95501",559-592-9119
Funeral Consultants Village,"707 H St, Eureka, California 95501",916-961-1265
Mount Vernon Memorial Park & Mortuary,"1835 E Street, Eureka, California 95501",916-969-1251
Bryan-Braker Funeral Home,"425 North Kaweah Avenue, Exeter, California 93221",707-425-4697
Fairfield Funeral Homes,"505 East Pine Street, Exeter, California 93221",707-425-1041
Fairmont Cremation Service,"505 East Pine Street, Exeter, California 93221",707-425-0208
Neptune Society of Northern CA,"7960 Winding Way, Fair Oaks, California 95628",707-422-4900
St Alphonsus Catholic Cemetery,"8201 Greenback Lane, Fair Oaks, California 95628",(707)   425-3111
Berry-Bell & Hall Fallbrook Mortuary,"1850 Texas Street, Fairfield, California 94533",(760) 728-1689
Farewell,"1750 Pennsylvania Avenue, Fairfield, California 94533",559-583-9769
Martinez And Barba Funeral Home,"1901 Union Avenue, Fairfield, California 94533",559-594-4724
Wagner's Family Funeral Chapel,"1261 Travis Boulevard, Fairfield, California 94533",559-622-9547
Chapel Of The Ferns - Citizens Mortuary,"1707 Union Avenue, Fairfield, California 94533",(707) 786-4223
Skillin-Carroll Mortuary,"333 N Vine St, Fallbrook, California 92028",(805) 524-0744
Whitehurst Funeral Chapel,"660 W Locust Avenue, Farmersville, California 93223",559-659-2133
Whitehurst Funeral Chapels Inc,"332 East Visalia Road, Farmersville, California 93223",(559) 659-2133
Green Valley Mortuary & Crematory,"332 E Visalia Road, Farmersville, California 93223",(916) 985-8844
Miller Funeral Home,"470 Ocean Avenue, Ferndale, California 95536",(916) 985-2295
Dickey Mortuary,"600 Central Ave, Fillmore, California 93015",909-822-2285
Chapel By The Sea,"1074 P Street, Firebaugh, California 93622",(707) 964-5675
Goble's Fortuna Mortuary,"1074 P St, Firebaugh, California 93622",(707) 725-2294
Rich's Business Drctrs Inc,"610 Coloma St, Folsom, California 95630",650-362-1020
Wallin's Fowler Funeral Home,"507 Scott St, Folsom, California 95630",(559) 834-2531
Berge-Pappas-Smith Chapel,"8030 Mango Ave, Fontana, California 92336",510-656-1226
Chapel of the Roses,"445 E Fir Street, Fort Bragg, California 95437",510-797-1900
Fremont Memorial Chapel,"560 12th St, Fortuna, California 95540",510-793-8900
Lima Family Milpitas-Fremont Mortuary,"373 Vintage Park Drive, Foster City, California 94404",(408) 263-2868
Advanced Funeral Insurance Service,"302 E Merced St, Fowler, California 93625",559-441-8225
California Mortuary Service,"40842 Fremont Boulevard, Fremont, California 94538",559-446-0905
Central Valley Monuments,"1940 Peralta Boulevard, Fremont, California 94536",(559) 237-7888
Chapel of the Light,"3723 Peralta Boulevard, Fremont, California 94536",559-233-6254
Cremation Society-Central CA,"48800 Warm Springs Blvd, Fremont, California 94539",559-237-3579
DFS Memorials - Fresno,"202 N Teilman Avenue, Fresno, California 93706",559-201-0237
Fresno Catholic Cemeteries,"7389 N Bond Street, Fresno, California 93720",(559)   488-7449
Fresno Funeral Chapel,"505 W Belmont Ave, Fresno, California 93728",559-233-1174
Funeraria La Paz,"1620 W Belmont Avenue, Fresno, California 93728",(559) 237-7700
Lisle Funeral Home,"3037 Tulare Street, Fresno, California 93721",(559) 266-0666
Neptune Society,"1103 E Street, Fresno, California 93706",559-222-7764
Nova Cremation Service,"264 N Blythe Avenue, Fresno, California 93706",559-266-9400
Palm Memorial Chapel,"1136 A Street, Fresno, California 93706",(559) 233-7267
Stephens & Bean Funeral Chapel,"1022 B St, Fresno, California 93706",(559) 268-9292
Sterling & Smith Funeral Directors,"1605 L St, Fresno, California 93721",559-201-0238
Tinkler Funeral Chapel & Crematory,"1154 W Shaw Avenue, Fresno, California 93711",(559) 233-2101
Whitehurst Sullivan Burns & Blair Funeral Home,"435 N Echo Avenue, Fresno, California 93701",(559) 227-4048
Wildrose Chapel & Funeral Home,"2983 Tulare St, Fresno, California 93721",559-486-7777
Yost & Webb Funeral Home,"202 N Teilman, Fresno, California 93706",559-237-4147
Loma Vista Mortuary,"1104 E Street, Fresno, California 93707",714-525-6702
Mc Aulay & Wallace,"475 N Broadway, Fresno, California 93701",714-525-4721
Ben Salas Funeral Home,"1525 E Saginaw, Fresno, California 93704",(209) 745-1191
Galt Funeral Home,"916 E Divisadero Street, Fresno, California 93721",(209) 745-2958
An Lac Funeral Services,"1002 T Street, Fresno, California 93721",(714) 489-5571
Dimond & Shannon Mortuary,"701 E Bastanchury Road, Fullerton, California 92835",(714) 537-1038
McMillan-McCormick Mortuary,"902 N Harbor Boulevard, Fullerton, California 92832",(310) 792-7580
Roosevelt Memorial Park Mortuary,"149 4th St, Galt, California 95632",(310) 329-1113
Habing Family Funeral Home,"702 B St, Galt, California 95632",(408) 847-4040
Callanan Woods - Scovern,"7441 Garden Grove Blvd, Garden Grove, California 92841",(818) 242-0258
Forest Lawn Memorial Parks & Mortuaries,"10630 Chapman Ave, Garden Grove, California 92840",(800) 204-3131
Scovern Mortuary,"1016 West 164th Street, Gardena, California 90247",(818) 242-4124
Foothill Valley Mortuary,"18255 South Vermont Ave, Gardena, California 90248",626-335-8228
Oakdale Mortuary,"129 4th St, Gilroy, California 95020",(626) 691-2000
Chapel of the Angels,"511 S Central, Glendale, California 91204",530-273-2446
St Patrick's Catholic Cemetery,"1712 S Glendale Avenue, Glendale, California 91205",(530)   271-5947
Affordable Mortuary Of Tri-Counties,"511 S Central Ave, Glendale, California 91204",(530) 846-3016
Marshall-Spoo Sunset Funeral Chapel,"1145 South Grand Avenue, Glendora, California 91740",(805) 489-5552
Guerneville Redwood Chapel,"1401 S Grand Ave, Glendora, California 91740",(707) 869-2842
Miller-Dutra Coastside Chapel,"250 Race Street, Grass Valley, California 95945",(650) 726-4474
Miller Memorial Chapels,"423 Dalton Street, Grass Valley, California 95945",559-584-5591
People's Funeral Chapel,"490 Sycamore St # 1, Gridley, California 95948",(559) 584-5591
Whitehurst-McNamara-Serpa Funeral Service,"1239 Longbranch Ave, Grover Beach, California 93433",(559) 582-0251
Douglass & Dunaway Mortuary,"4th & Mill, Guerneville, California 95446",310-676-2271
Chapel of the Chimes Funeral Home,"645 Kelly Ave, Half Moon Bay, California 94019",(510) 471-3363
Holy Angels Funeral Center,"501 N Douty Street, Hanford, California 93230",510-537-6600
Mission Funeral Home,"501 N Douty, Hanford, California 93230",510-881-9192
Sorensen Brothers Mortuary,"100 Bush Street, Hanford, California 93230",510-581-1234
Fred Young & Co Funeral Directors,"4286 Broadway, Hawthorne, California 90250",(707) 433-3329
Harford Funeral Home,"32992 Mission Blvd, Hayward, California 94544",(909) 658-3288
Hemet Valley Mortuary,"1051 Harder Road, Hayward, California 94542",(909) 658-4433
Inland Memorial Cremation & Burial,"22297 Mission Boulevard, Hayward, California 94541",(909) 929-1888
Jones Miller Mortuary & Crematory,"1140 B Street, Hayward, California 94541",(909) 658-3161
McWane Family Funeral Home,"24 Matheson St, Healdsburg, California 95448",951-658-9497
White & Day Hermosa Mortuary,"120 N Buena Vista St, Hemet, California 92543",(310) 379-2446
High Desert Funeral & Cremation,"403 N San Jacinto St, Hemet, California 92543",760-244-1400
Kern Hesperia Mortuary,"720 W Florida Avenue, Hemet, California 92543",(760) 244-9313
Accord Cremation & Burial Services,"1501 W Florida Ave, Hemet, California 92543",(800) 843-0995
Arrowhead Aftercare,"350 North San Jacinto Street, Hemet, California 92543",909-425-2920
Black Cooper Sander Funeral Home,"338 Pier Avenue, Hermosa Beach, California 90254",(831) 637-3793
Grunnagle-Ament-Nelson Funeral Home & Crematory,"16545 Bear Valley Road, Hesperia, California 92345",(831) 637-3757
Rose Mortuary & Crematory,"16120 Main Street, Hesperia, California 92345",(760)   251-7673
Lakewood Funeral Home,"27183 5th St, Highland, California 92346",(209) 883-0411
Lakewood Memorial Park,"27007 5th Street, Highland, California 92346",209-883-4465
Advantage Funeral & Cremation Services,"363 7th St, Hollister, California 95023",(714) 536-6539
Beach Cities Burials at Sea,"870 San Benito St, Hollister, California 95023",714-379-9322
Dilday Brothers Funeral Directors,"66424 Pierson Blvd, Hot Springs, California 92240",(714) 842-7771
Heritage Memorial Services,"900 Santa Fe Ave, Hughson, California 95326",(714) 842-2400
Klinker-Cunningham-Guerra Mortuary,"900 Santa Fe Avenue, Hughson, California 95326",(323) 582-6197
Pinkham-Mitchell Imperial Beach Mortuary,"627 Main St, Huntington Beach, California 92648",(619) 423-4787
FitzHenry Funeral Homes,"15183 Springdale Street, Huntington Beach, California 92649",(760) 347-3531
Forest Lawn Mortuaries,"17911 Beach Blvd, Huntington Beach, California 92647",760-347-3531
Eternal Rest Mortuary,"17712 Beach Blvd, Huntington Beach, California 92647",323-759-2900
Inglewood Mortuary,"6351 Seville Ave, Huntington Park, California 90255",310-677-8137
Mc Cormick Mortuary-Inglewood,"808 13th Street, Imperial Beach, California 91932",310-792-7580
Simpson's Family Mortuary,"82-975 Requa Ave, Indio, California 92202",323-752-5524
Celebrating the Seasons of Life,"82975 Requa Avenue, Indio, California 92201",(949) 463-0744
Coastal Funeral Service,"2617 W Manchester Boulevard, Inglewood, California 90305",714-638-1112
O'Connor Irvine Mortuary,"1206 Centinela Avenue, Inglewood, California 90302",949-296-1010
Sierra Valley Mortuary,"635 S Prairie Avenue, Inglewood, California 90301",760-379-2628
Valley Mortuary Of Lake,"3443 W Manchester Boulevard, Inglewood, California 90305",760-379-5829
Mountain Valley Memorial Park & Mortuary,"23 cedar ridge, Irvine, California 92603",(760) 366-8421
Kerman Chapel,"2102 Business Center Drive, Irvine, California 92612",(559) 846-9369
Palm Memorial Kerman Chapel,"4010 Barranca Parkway, Irvine, California 92604",559-846-9369
Whitehurst Grim Funeral Service,"6416a Lake Isabella Boulevard, Isabella, California 93240",(831) 385-3241
Creighton Memorial Chapel,"6048 Lake Isabella Boulevard, Isabella, California 93240",(559) 897-2908
Crippen Mortuary,"60121 29 Palms Hwy, Joshua Tree, California 92252",818-249-6131
El Camino Memorial-La Mesa Chapel,"538 South Madera Avenue, Kerman, California 93630",(619) 466-3297
Funeraria Aztlan Mortuary Service,"538 S Madera Avenue, Kerman, California 93630",619-337-8100
Legacy Funeral & Cremation,"429 Bassett St, King City, California 93930",619-337-1400
Rose Hills Baldwin-Puente,"1588 Lincoln St, Kingsburg, California 93631",(626) 962-3502
Rose Hills La Puente,"2900 Honolulu Avenue, La Crescenta, California 91214",(626) 336-4539
Oakmont Memorial Park & Mortuary,"8390 Allison Ave, La Mesa, California 91941",(925) 935-3311
Queen of Heaven Cemetery,"7856 La Mesa Boulevard, La Mesa, California 91941",925-932-0900
Sinai Memorial Chapel,"7043 University Avenue, La Mesa, California 91941",(925) 962-3636
Mc Cormick Crematory,"1025 Willow Avenue, La Puente, California 91746",949-494-9415
McCormick & Son Mortuary,"1103 North Hacienda Boulevard, La Puente, California 91744",(949) 768-0933
O'Connor Laguna Hills Mortuary,"2099 Reliez Valley Rd, Lafayette, California 94549",(949) 581-4300
Evans-Brown Mortuaries,"1965 Reliez Valley Road, Lafayette, California 94549",(909) 674-3141
Lakepointe Cremation & Burial,"3415 Mt Diablo Blvd, Lafayette, California 94549",951-245-1771
Murrieta Valley Funeral Home,"1795 Laguna Canyon Road, Laguna Beach, California 92651",951-696-0626
Chapel Of The Lakes,"25000 Moulton Pkwy, Laguna Hills, California 92653",(707) 263-0357
Jones Mortuary,"25301 Alicia Parkway, Laguna Hills, California 92653",707-263-5389
Lakeside-Santee Funeral Chapel,"126 East Graham Avenue, Lake Elsinore, California 92530",(619) 443-3918
Stricklin Snively Lakewood,"571 Crane Street, Lake Elsinore, California 92530",(562) 272-2765
Hopson-Lamont Family Mortuary,"24651 Washington Avenue, Lake Elsinore, California 92562",(661) 845-1163
Halley Olsen Murphy,"1625 North High Street, Lakeport, California 95453",(661) 942-1139
Joshua Memorial Park & Mortuary,"115 S Main Street, Lakeport, California 95453",(661) 942-8121
Lancaster Cemetery,"9840 Maine Ave, Lakeside, California 92040",(661) 942-6110
Mumaw Funeral Home,"5001 Lakewood Boulevard, Lakewood, California 90712",661-942-4614
Pacific Sea Burials,"8601 Hall Road, Lamont, California 93241",(661) 839-3100
Stickel Mortuary,"44802 N Date Ave, Lancaster, California 93534",661-824-2328
Pierce Brothers Del Fox Mortuary,"808 E Lancaster Blvd, Lancaster, California 93535",(310) 679-1793
Bishop Mortuary,"111 East Lancaster Boulevard, Lancaster, California 93535",619-466-4462
Conrad Lemon Grove Mortuary,"44663 N Date Ave, Lancaster, California 93534",619-460-4601
Phipps-Dale Funeral Chapel,"P.O. Box 5441, Lancaster, California 93539",(559) 924-5611
Lincoln Funeral Home,"44802 Date Avenue, Lancaster, California 93534",916-645-2347
Callaghan Mortuary & Livermore Crematory,"3918 Marine Avenue, Lawndale, California 90260",(925) 447-2942
Neptune Society of Northern CA,"3444 Citrus Street, Lemon Grove, California 91945",925-454-1974
St Michael Cemetery,"7387 Broadway, Lemon Grove, California 91945",925-455-9696
Wilson Family Funeral Chapel,"420 W D St, Lemoore, California 93245",(925) 443-4500
Groman Mortuary,"406 H Street, Lincoln, California 95648",661-944-5050
Cherokee Memorial Funeral Home,"3833 East Ave, Livermore, California 94550",209-944-9898
Cherokee Memorial Park & Funeral Home,"2177 Las Positas Court, Livermore, California 94551",(209) 334-9613
Gierhart-Wells & Donahue Funeral Home Inc,"3885 East Avenue, Livermore, California 94550",(209) 368-2444
Lodi Funeral Home,"3070 East Avenue, Livermore, California 94550",(209) 369-3564
Rocha's Mortuary,"15616 Boca Raton Avenue, Llano, California 93544",(209) 368-5128
Linda Loma Mortuary,"831 Industrial Way, Lodi, California 95240",(909) 796-0125
A M Gamby Mortuary,"Hwy 99 At E Harney Ln, Lodi, California 95240",(310) 326-6343
Starbuck-Lind Mortuary,"123 N School Street, Lodi, California 95240",(805) 735-3773
Brune Mortuary,"725 S Fairmont Ave, Lodi, California 95240",760-876-5657
Owens Valley Mortuary,"215 S School St, Lodi, California 95240",(760) 876-4665
Affordable Burial & Cremation Service Inc,"24684 Barton Rd, Loma Linda, California 92354",(562)   428-9772
All Souls Mortuary,"25001 Narbonne Ave, Lomita, California 90717",(310) 424-8601
Burials at Sea by Captain Johnnie Lee,"123 North A Street, Lompoc, California 93436",(310) 387-0587
Catholic Mortuaries,"206 E Post Street, Lone Pine, California 93545",(562)   353-4986
Dilday Burr Brothers Mortuary,"206 East Post Street, Lone Pine, California 93545",562-438-1145
Faith Chapel Mortuary,"6510 Cherry Ave, Long Beach, California 90805",562-599-4693
Forest Lawn Memorial Park Association,"4400 Cherry Avenue, Long Beach, California 90807",562-424-1631
Hunter-Perez Mortuary,"372 E Shoreline Dr, Long Beach, California 90802",(562)   422-1243
Long Beach Colonial Mortuary,"4400 Cherry, Long Beach, California 90807",562-436-1601
Luyben Family Dilday-Mottell Mortuary,"244 Redondo Avenue, Long Beach, California 90803",(310) 425-6401
Mc Kenzie Cremation & Burial,"1870 Atlantic Ave, Long Beach, California 90806",562-989-3606
Steward-Pearce Mortuary,"1500 E San Antonio Drive, Long Beach, California 90807",562-423-3094
Stricklin/Snively Mortuary,"5443 Long Beach Boulevard, Long Beach, California 90805",(562) 426-3365
Sands Foothill Chapel,"638 Atlantic Avenue, Long Beach, California 90802",(916) 652-7288
Spangler Mortuaries,"5161 Arbor Rd, Long Beach, California 90808",650-948-6619
Abbey Bat KOL,"3843 E Anaheim Street, Long Beach, California 90804",323-644-1955
Abbott & Hast Mortuary,"1701 E South Street, Long Beach, California 90805",323-661-1111
Agape Memorial Chapel,"1952 Long Beach Blvd, Long Beach, California 90806",323-235-5311
All Brass Mortuary Removal Service,"3587 Taylor Road, Loomis, California 95650",323-566-1311
Angelus Rosedale Cemetery,"399 S San Antonio Road, Los Altos, California 94022",323-734-3155
Ashley-Grigsby Mortuary Inc,"3440 John Street, Los Angeles, California 90026",323-567-7728
Boyd Funeral Home,"315 Silver Lake Boulevard, Los Angeles, California 90026",323-756-8391
Broadway Funeral Home,"4700 Avalon Boulevard, Los Angeles, California 90011",323-222-3838
Callanan Mortuary,"11030 Willowbrook Avenue, Los Angeles, California 90059",323-462-2266
Calvary Mortuary,"1831 W Washington Boulevard, Los Angeles, California 90007",(213) 261-3106
Castaneda-Crollett Mortuary,"9920 S Central Avenue, Los Angeles, California 90002",323-269-8455
Cedar Hill Mortuary,"11109 S Vermont Avenue, Los Angeles, California 90044",(323) 798-9055
De Haven Funeral Home,"2730 N Broadway, Los Angeles, California 90031",323-786-6793
DFS Memorials - Los Angeles,"1301 N Western Avenue, Los Angeles, California 90027",(323) 798-9055
Dowd & Gonzalez Funeral Drctrs,"4201 Whittier Blvd, Los Angeles, California 90023",323-778-0515
Felipe Bagues Mortuary,"3715 E Cesar E Chavez Avenue, Los Angeles, California 90063",323-267-4599
Funeral Flower Service,"1722 Colorado Blvd, Los Angeles, California 90041",213-385-6666
Groman Mortuaries,"9201 S Vermont Avenue, Los Angeles, California 90044",323-779-2483
Guerra & Gutierrez Mortuary,"1722 Colorado BlvdÊ, Los Angeles, California 90041",(323) 723-1125
Guerra & Gutierrez Mortuary,"301 E 84th Street, Los Angeles, California 90003",(323) 723-1125
Han KOOK Mortuary,"1930 E 1st Street, Los Angeles, California 90033",323-734-5656
Hillside Memorial Park & Mortuary,"374 S La Cienega Boulevard, Los Angeles, California 90048",(310) 641-0707
Hollywood Forever Funeral Home,"331 W 91st Place, Los Angeles, California 90003",323-469-6349
Home of Peace Mortuary,"5800 E Beverly Blvd, Los Angeles, California 90022",323-656-6260
House of Winston Mortuary,"5800 E Beverly Blvd, Los Angeles, California 90022",323-757-2271
Kubota Nikkei Mortuary,"2045 W Washington Boulevard, Los Angeles, California 90018",213-749-1449
Latino Americana Mortuary,"6001 W Centinela Ave, Los Angeles, California 90045",323-265-7016
Malinow & Silverman Mortuary,"6000 Santa Monica Boulevard, Los Angeles, California 90038",(800) 710-7100
Malloy-Mitten Funeral Home,"4334 Whittier Boulevard, Los Angeles, California 90023",213-748-6153
Mount Sinai Memorial Parks and Mortuaries,"9501 S Vermont Avenue, Los Angeles, California 90044",(800) 600-0076
Pierce Brothers Mortuary,"911 Venice Boulevard, Los Angeles, California 90015",213-749-4151
Pierce Brothers Westwood VLG,"3827 Whittier Boulevard, Los Angeles, California 90023",310-474-1579
Pinson Funeral Home,"7366 Osage Ave, Los Angeles, California 90045",323-564-7558
Rachal's Funeral Home,"931 Venice Boulevard, Los Angeles, California 90015",323-231-9325
Solomon's Mortuary,"5950 Forest Lawn Drive, Los Angeles, California 90068",323-757-1754
Spalding Mortuary,"759 W Washington Boulevard, Los Angeles, California 90015",323-934-1181
Veiga-Robison Mortuary,"1218 Glendon Avenue, Los Angeles, California 90024",323-728-0534
Whitehurst Funeral Chapels,"11129 S Central Avenue, Los Angeles, California 90059",209-826-4242
Whitehurst Funeral Chapels Inc,"5708 S. Broadway, Los Angeles, California 90037",(209) 826-4242
Byrgan & Company,"10625 S Broadway, Los Angeles, California 90003",(650) 343-5511
Chapel of the Hills,"3045 S La Brea Avenue, Los Angeles, California 90016",(408) 354-7740
Gaeta's Flowers of Los Gatos,"5353 E Beverly Boulevard, Los Angeles, California 90022",408-356-0442
Los OSOS Valley Funerals,"16524 Center Avenue, Los Banos, California 93635",805-528-1500
Jones & Lewis Clear Lake Memorial Chapel,"16524 South Center Avenue, Los Banos, California 93635",(707) 994-6417
Central Coast Memorial Society,"236 North Santa Cruz, Los Gatos, California 95030",805-543-6133
REIS Family Mortuary,"615 N Santa Cruz Ave, Los Gatos, California 95030",805-544-7400
